inproceedings:ID;author:string[];author-aux:string[];author-orcid:string[];booktitle:string;cdrom:string[];cite:string[];cite-label:string[];crossref:string[];editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];key:string;mdate:date;month:string;note:string;note-type:string;number:string;pages:string;publtype:string;sub:string[];sup:string[];title:string;title-bibtex:string;tt:string;url:string;volume:int;year:int
6559939;Liam Roditty|Mihai Patrascu|Mikkel Thorup;;0000-0001-5237-1709;FOCS;;;;conf/focs/2012;;;http://doi.ieeecomputersociety.org/10.1109/FOCS.2012.44|https://doi.org/10.1109/FOCS.2012.44;;;conf/focs/PatrascuRT12;2017-06-02;;;;;738-747;;;;A New Infinity of Distance Oracles for Sparse Graphs.;;;db/conf/focs/focs2012.html#PatrascuRT12;;2012
6567649;Bessem Sayadi|Borislava Gajic|Dirk von Hugo|Faqir Zarrar Yousaf|Marco Gramaglia|Marcos Rates Crippa|Vasilis Friderikos|Vincenzo Sciancalepore;;0000-0002-0680-7150|0000-0002-3332-4672|0000-0002-6883-1172;ICC Workshops;;;;conf/icc/2017w;;;https://doi.org/10.1109/ICCW.2017.7962821;;;conf/icc/YousafGFGHSSC17;2019-09-16;;;;;1195-1201;;;;Network slicing with flexible mobility and QoS/QoE support for 5G Networks.;;;db/conf/icc/icc2017w.html#YousafGFGHSSC17;;2017
6568996;Daji Qiao|Wei Zhou;;;ICC;;;;conf/icc/2007;;;https://doi.org/10.1109/ICC.2007.791;;;conf/icc/ZhouQ07;2017-05-25;;;;;4791-4796;;;;Fulfillment-Based Fairness: A New Fairness Notion for Multi-AP Wireless Hotspots.;;;db/conf/icc/icc2007.html#ZhouQ07;;2007
6569317;Jon W. Mark|Kee Chaing Chua|Tung Chong Wong;;;ICC;;;;conf/icc/2004;;;https://doi.org/10.1109/ICC.2004.1313202;;;conf/icc/WongMC04;2017-05-25;;;;;3533-3538;;;;Performance analysis of variable bit rate multiclass services in the downlink of a round-robin carrier-hopping multirate multicarrier DS-CDMA system.;;;db/conf/icc/icc2004.html#WongMC04;;2004
6569881;Holger Boche|Martin Schubert;;;ICC;;;;conf/icc/2005;;;https://doi.org/10.1109/ICC.2005.1494472;;;conf/icc/BocheS05;2017-05-25;;;;;855-859;;;;Resource allocation for multi-antenna multi-user systems.;;;db/conf/icc/icc2005.html#BocheS05;;2005
6570294;Husheng Li|Jingchao Bao|Tao Shu;;;ICC Workshops;;;;conf/icc/2018w;;;https://doi.org/10.1109/ICCW.2018.8403584;;;conf/icc/BaoSL18;2018-07-06;;;;;1-6;;;;Handover Prediction Based on Geometry Method in mmWave Communications - A Sensing Approach.;;;db/conf/icc/icc2018w.html#BaoSL18;;2018
6571438;Babak Hossein Khalaj|Mahdi Golparvar Roozbahani;;;ICC;;;;conf/icc/2006;;;https://doi.org/10.1109/ICC.2006.255222;;;conf/icc/RoozbahaniK06;2017-05-25;;;;;2905-2910;;;;Rate-Maximizing Adaptation in Multiantenna OFDM Systems With Space-Time-Frequency Coding.;;;db/conf/icc/icc2006.html#RoozbahaniK06;;2006
6573645;Li Sun 0001|Pinyi Ren|Qinghe Du|Yichen Wang 0002;;;ICC;;;;conf/icc/2015;;;https://doi.org/10.1109/ICC.2015.7249561;;;conf/icc/WangRDS15;2020-07-06;;;;;7719-7724;;;;Power allocation for cognitive radio networks with statistical QoS provisioning of primary users.;;;db/conf/icc/icc2015.html#WangRDS15;;2015
6577522;Feng Li|Hsiao-Hwa Chen|Xinbing Wang;;;ICC;;;;conf/icc/2009;;;https://doi.org/10.1109/ICC.2009.5198630;;;conf/icc/LiWC09;2017-05-25;;;;;1-5;;;;A Modified Exclusion Mechanism and Optimal Routing Algorithm in UWB Networks.;;;db/conf/icc/icc2009.html#LiWC09;;2009
6578437;Bingrui Wang|Binqiang Wang|Hui Li|Peng Yi|Qin-shu Chen|Wei He;;;ICC;;;;conf/icc/2008;;;https://doi.org/10.1109/ICC.2008.1109;;;conf/icc/HeLWCYW08;2020-07-02;;;;;5935-5939;;;;Load-Balanced Multipath Self-Routing Switching Structure by Concentrators.;;;db/conf/icc/icc2008.html#HeLWCYW08;;2008
